Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
Lead/Assistant Manager/Data Analyst - Python/SQL (4-6 yrs),HuQuo Consulting Pvt. Ltd.,4-6 Yrs,4,6,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Python, SQL, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Quality Analyst Lead,Bigtapp Analytics,7-11 Yrs,7,11,Not Disclosed,Chennai,11,Naukri,4.3,7,"Data analyst, ML Testing, AI Testing",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Immediate Joiner - Andheri,Millennium Organisation,0-3 Yrs,0,3,₹ 1.25 - 2.5L/yr,Mumbai,29,Naukri,3.4,25,"Formulas, Advanced Excel, Calculation",Salary Listed by Company,125000,250000,1,Range (X-Y yrs)
Presales Data Analyst,DiLytics Technologies Private Limited,1-10 Yrs,1,10,Not Disclosed,Hyderabad / Secunderabad,16,Naukri,4.3,11,"IT services, Performance management, Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Tableau/Power BI (3-5 yrs),Ds,3-5 Yrs,3,5,Not Disclosed,Bangalore / Bengaluru,6,hirist,3.6,24,"Data Analyst, Data Analytics, Data Modeling",Unknown,360000,1330000,0,Range (X-Y yrs)
Hindustan Coca Cola Beverages - Data Analyst (3-6 yrs),Coca Cola Beverages Pvt Ltd,3-6 Yrs,3,6,Not Disclosed,Bangalore / Bengaluru,90,iimjobs,4.2,2500,"Data Analytics, Analytics, Data Visualization",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Adidas Group,2-4 Yrs,2,4,₹ 16 - 25L/yr (AmbitionBox estimate),Gurgaon / Gurugram,365,Naukri,4,510,"SQL, Data processing, SMS",Estimated by Ambition Box,1600000,2500000,1,Range (X-Y yrs)
Data Analyst,Adidas Group,2-4 Yrs,2,4,₹ 16 - 25L/yr (AmbitionBox estimate),Gurgaon / Gurugram,365,Naukri,4,510,"SQL, Data processing, SMS",Estimated by Ambition Box,1600000,2500000,1,Range (X-Y yrs)
Senior Cognos BI Developer - Data Analytics (12-14 yrs),Cortex Consulting Pvt. Ltd.,12-14 Yrs,12,14,Not Disclosed,Remote,17,hirist,3.1,16,"Cognos, Data Modeling, Dimensional Modeling",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Spend Data Analyst - BFSI/IT (5-8 yrs),Counselect Services Private Limited,5-8 Yrs,5,8,Not Disclosed,Mumbai,60,iimjobs,4.2,50,"Data Analytics, Analytics, Data Management",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst Trainee,ZCTS,0-1 Yrs,0,1,Not Disclosed,Coimbatore,17,Naukri,3.8,37,"Java, C",Unknown,360000,1330000,0,Range (X-Y yrs)
TS - Data Analyst,Srivango,4-8 Yrs,4,8,₹ 9 - 15L/yr,Kolkata,5,Naukri,4.2,7,"Power Bi, Agile, SQL Queries",Salary Listed by Company,900000,1500000,1,Range (X-Y yrs)
Data Analyst,Kellton Tech Solutions Ltd,5-10 Yrs,5,10,Not Disclosed,Gurgaon / Gurugram,30,Naukri,3,309,"SQL, Python, GIT",Unknown,360000,1330000,0,Range (X-Y yrs)
Milkbasket - Data Analyst/Senior Data Analyst (3-6 yrs),Milkbasket,3-6 Yrs,3,6,Not Disclosed,Gurgaon / Gurugram,30,iimjobs,3.8,274,"Analytics, SQL, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - R/Python (5-12 yrs),Zelarsoft Pvt.Ltd.,5-12 Yrs,5,12,Not Disclosed,Hyderabad / Secunderabad,6,hirist,3.5,27,"Data Analyst, Data Integrity, R",Unknown,360000,1330000,0,Range (X-Y yrs)
Power BI (HR),Burns McDonnell,2-3 Yrs,2,3,Not Disclosed,Mumbai,240,Naukri,4.3,252,"Data Analyst, Business analytics, Data management",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Executive - Data Analyst,Ecom Express Private Limited,3-5 Yrs,3,5,₹ 3 - 6L/yr (AmbitionBox estimate),Gurgaon / Gurugram,270,Naukri,4,3300,"Project implementation, Employee engagement, power bi",Estimated by Ambition Box,300000,600000,1,Range (X-Y yrs)
Data Analyst - Global Support,Siemens Limited,1-4 Yrs,1,4,Not Disclosed,Thane,90,Naukri,4.2,4200,"Business intelligence, Logistics, Data Analyst",Unknown,500000,980000,0,Range (X-Y yrs)
Data Analyst,Siemens Limited,0-6 Yrs,0,6,Not Disclosed,Bangalore / Bengaluru,150,Naukri,4.2,4200,"power bi, Data analysis, SQL",Unknown,500000,980000,0,Range (X-Y yrs)
Electrical / Energy Expert and Data Analyst,Siemens Limited,6-8 Yrs,6,8,Not Disclosed,Thane,90,Naukri,4.2,4200,"Data Analyst, Project management, Agile",Unknown,500000,980000,0,Range (X-Y yrs)
IT Data Analyst,Siemens Limited,5-10 Yrs,5,10,Not Disclosed,Bangalore / Bengaluru,120,Naukri,4.2,4200,"Data Analyst, CRM, Data analysis",Unknown,500000,980000,0,Range (X-Y yrs)
Data Analyst ( On Contract ),Electronic Arts,2-3 Yrs,2,3,Not Disclosed,Hyderabad / Secunderabad,365,Naukri,4.3,67,"Analytical skills, tableau, Manager Quality Assurance",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst at Electronic Arts,Electronic Arts,3-6 Yrs,3,6,Not Disclosed,Hyderabad / Secunderabad,1095,Naukri,4.3,67,"Data analysis, Simulation, Consulting",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Visualization Expert - Power BI/Qlikview (3-5 yrs),Connexions,3-5 Yrs,3,5,Not Disclosed,Bangalore / Bengaluru,30,hirist,3.9,11,"Data Visualization, Data Visualization Tools, Business Intelligence",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst Trainee / Engineer,Electrodrive Powertrain Solutions,0-2 Yrs,0,2,Not Disclosed,Pune,16,Naukri,3.7,35,MS Excel,Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - NA Mobility,Arcadis Consulting India Pvt. Ltd,2-5 Yrs,2,5,Not Disclosed,"Bangalore / Bengaluru, Hyderabad / Secunderabad",330,Naukri,4.2,191,"Qualitative research, Process automation, RDBMS",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,Better Mortgage,3-7 Yrs,3,7,Not Disclosed,Gurgaon / Gurugram,30,Naukri,3,725,"Data analysis, Automation, Sales",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Qliksense (6-14 yrs),SAR HR Consultancy,6-14 Yrs,6,14,Not Disclosed,Gurgaon / Gurugram,11,iimjobs,4.5,6,"Analytics, Data Analytics, Data Science",Unknown,360000,1330000,0,Range (X-Y yrs)
MIS Data Analyst-Retail FMCG - Bangalore,The Organic World,2-5 Yrs,2,5,Not Disclosed,Bangalore / Bengaluru,6,Naukri,4.1,8,"Retail MIS, Account data, MIS Operations",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,STP Research,1-4 Yrs,1,4,Not Disclosed,New Delhi,30,Naukri,4.7,4,Data Analyst,Unknown,360000,1330000,0,Range (X-Y yrs)
Jr Data Analyst,Synergy Connect Data Innovations,2-3 Yrs,2,3,Not Disclosed,Mumbai,23,Naukri,4.7,7,"Database Management, Data Analysis, Data Cleansing",Unknown,360000,1330000,0,Range (X-Y yrs)
